"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\lokes\Desktop\MERN\blaxol\backend\routes\admin.js", "JavaScript", 92, 34, 28, 154
"c:\Users\lokes\Desktop\MERN\blaxol\backend\routes\simple.js", "JavaScript", 829, 49, 70, 948
"c:\Users\lokes\Desktop\MERN\blaxol\backend\routes\user.js", "JavaScript", 92, 1, 28, 121
"Total", "-", 1013, 84, 126, 1223
