"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\lokes\Desktop\MERN\blaxol\backend\routes\simple.js", "JavaScript", 440, -123, -88, 229
"Total", "-", 440, -123, -88, 229
