"filename", "language", "XML", "JavaScript", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\lokes\Desktop\MERN\blaxol\src\Components\Proposal1_letter.js", "JavaScript", 0, 108, 0, 0, 0, 0, 1, 27, 136
"c:\Users\lokes\Desktop\MERN\blaxol\src\Components\Proposal2.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\lokes\Desktop\MERN\blaxol\src\Components\Receipt.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\lokes\Desktop\MERN\blaxol\src\Components\RfpWorker.js", "JavaScript", 0, 60, 0, 0, 0, 0, 23, 18, 101
"c:\Users\lokes\Desktop\MERN\blaxol\src\Components\SubForm.js", "JavaScript", 0, 48, 0, 0, 0, 0, 1, 9, 58
"c:\Users\lokes\Desktop\MERN\blaxol\src\Components\SubsectionEdit.js", "JavaScript", 0, 77, 0, 0, 0, 0, 15, 14, 106
"c:\Users\lokes\Desktop\MERN\blaxol\src\Components\Subsesction.js", "JavaScript", 0, 48, 0, 0, 0, 0, 1, 9, 58
"c:\Users\lokes\Desktop\MERN\blaxol\src\context\temp\NoteState.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 7, 28
"c:\Users\lokes\Desktop\MERN\blaxol\src\context\temp\noteContext.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 3, 6
"c:\Users\lokes\Desktop\MERN\blaxol\src\index.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\lokes\Desktop\MERN\blaxol\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 3, 18
"c:\Users\lokes\Desktop\MERN\blaxol\src\logo.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\lokes\Desktop\MERN\blaxol\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\lokes\Desktop\MERN\blaxol\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 1, 2348, 271, 19399, 43, 23, 376, 716, 23177
